Order_ID,Month,Order_Date,Customer_ID,Product,Category,Unit_Price,Quantity,Revenue Before Discount,Discount,Discount Amount,Total_Sales,Payment_Mode,City,Sales_Channel,,,,,
1001,June-2024,12-06-2024,C214,Laptop,Electronics,"56,037",3,"1,68,111",5,8405.55,"1,59,705",Credit Card,Bangalore,Online,,,,,
1002,June-2024,22-06-2024,C858,Desk Lamp,Furniture,156,5,780,15,117,663,UPI,Delhi,Online,,,,,
1003,February-2024,25-02-2024,C338,Desk Lamp,Furniture,"2,265",1,"2,265",5,113.25,"2,151",Cash,Hyderabad,Offline,,,,,
1004,May-2024,30-05-2024,C384,Laptop,Electronics,"56,108",2,"1,12,216",15,16832.4,"95,383",Debit Card,Chennai,Online,,,,,
1005,February-2024,25-02-2024,C881,Printer,Electronics,"7,418",1,"7,418",15,1112.7,"6,305",UPI,Pune,Offline,,,,,
1006,June-2024,03-06-2024,C370,Laptop,Electronics,"55,988",4,"2,23,952",0,0,"2,23,952",Cash,Mumbai,Offline,,,,,
1007,June-2024,09-06-2024,C733,Printer,Electronics,"9,364",2,"18,728",0,0,"18,728",UPI,Hyderabad,Offline,,,,,
1008,January-2024,21-01-2024,C975,Monitor,Electronics,"13,549",1,"13,549",15,2032.35,"11,516",Debit Card,Ahmedabad,Offline,,,,,
1009,February-2024,11-02-2024,C479,Printer,Electronics,"7,858",3,"23,574",0,0,"23,574",Credit Card,Hyderabad,Online,,,,,
1010,April-2024,28-04-2024,C488,Keyboard,Electronics,"3,290",5,"16,450",5,822.5,"15,627",Debit Card,Delhi,Online,,,,,
1011,January-2024,09-01-2024,C924,Printer,Electronics,"8,643",3,"25,929",0,0,"25,929",Credit Card,Pune,Online,,,,,
1012,June-2024,16-06-2024,C611,Tablet,Electronics,"21,623",4,"86,492",5,4324.6,"82,167",Debit Card,Bangalore,Online,,,,,
1013,May-2024,23-05-2024,C651,Keyboard,Electronics,"2,559",5,"12,795",15,1919.25,"10,875",Cash,Pune,Online,,,,,
1014,February-2024,05-02-2024,C621,Office Chair,Furniture,"5,372",1,"5,372",0,0,"5,372",Credit Card,Bangalore,Offline,,,,,
1015,June-2024,01-06-2024,C165,Tablet,Electronics,"19,563",5,"97,815",15,14672.25,"83,142",Debit Card,Delhi,Online,,,,,
1016,June-2024,23-06-2024,C649,Keyboard,Electronics,"2,648",3,"7,944",0,0,"7,944",Debit Card,Kolkata,Online,,,,,
1017,April-2024,26-04-2024,C103,Keyboard,Electronics,"3,480",5,"17,400",5,870,"16,530",UPI,Chennai,Online,,,,,
1018,February-2024,09-02-2024,C482,Headphones,Electronics,"2,709",5,"13,545",0,0,"13,545",Debit Card,Ahmedabad,Online,,,,,
1019,January-2024,29-01-2024,C471,Keyboard,Electronics,480,1,480,5,24,456,UPI,Mumbai,Offline,,,,,
1020,January-2024,18-01-2024,C878,Desk Lamp,Furniture,"2,936",2,"5,872",5,293.6,"5,578",Cash,Bangalore,Offline,,,,,
